WsWaIdx,DateHrGmt,DateHrLwt,FcastHr,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
39899,2014-08-04-21,2014-08-04-15,0,82.4,64.4,70.0,55,994.6,88,82.4,84.5,9,250,0.00,695,228,618,10
39899,2014-08-04-22,2014-08-04-16,0,80.6,64.4,69.4,58,994.6,88,80.6,82.7,1,80,0.00,543,167,605,1
39899,2014-08-04-23,2014-08-04-17,0,78.8,66.2,69.8,65,994.6,85,78.8,81.5,1,10,0.00,374,123,547,1
39899,2014-08-05-00,2014-08-04-18,0,71.6,66.1,67.8,83,994.9,79,71.6,76.1,3,30,0.00,202,123,284,3
39899,2014-08-05-01,2014-08-04-19,0,73.4,67.9,69.5,83,994.9,65,73.4,77.2,6,40,0.00,53,44,98,7
39899,2014-08-05-02,2014-08-04-20,0,69.8,67.9,68.4,94,995.2,91,69.8,69.8,7,360,0.00,0,0,0,8
39899,2014-08-05-03,2014-08-04-21,0,69.8,67.9,68.4,94,995.9,96,69.8,69.8,8,40,0.00,0,0,0,9
39899,2014-08-05-04,2014-08-04-22,0,69.8,64.3,66.1,83,995.2,84,69.8,69.8,6,20,0.00,0,0,0,7
39899,2014-08-05-05,2014-08-04-23,0,68.0,66.1,66.7,94,995.2,49,68.0,68.0,4,240,0.00,0,0,0,5
39899,2014-08-05-06,2014-08-05-00,0,68.0,66.1,66.7,94,994.2,42,68.0,68.0,3,140,0.01,0,0,0,3
39899,2014-08-05-07,2014-08-05-01,0,69.8,67.9,68.4,94,994.2,100,69.8,69.8,5,170,0.01,0,0,0,6
39899,2014-08-05-08,2014-08-05-02,0,69.8,67.9,68.4,94,994.2,100,69.8,69.8,6,170,0.02,0,0,0,7
39899,2014-08-05-09,2014-08-05-03,0,69.8,66.1,67.2,88,994.2,85,69.8,69.8,6,190,0.06,0,0,0,7
39899,2014-08-05-10,2014-08-05-04,0,69.8,67.9,68.4,94,994.6,95,69.8,69.8,4,0,0.08,0,0,0,5
39899,2014-08-05-11,2014-08-05-05,0,69.8,67.9,68.4,94,994.9,100,69.8,69.8,4,0,0.07,0,0,0,5
39899,2014-08-05-12,2014-08-05-06,0,71.6,66.1,67.8,83,995.5,100,71.6,76.1,7,230,0.03,6,6,0,8
39899,2014-08-05-13,2014-08-05-07,0,71.6,66.1,67.8,83,995.5,99,71.6,76.1,5,270,0.03,45,45,0,6
39899,2014-08-05-14,2014-08-05-08,0,73.4,66.1,68.3,78,995.5,85,73.4,77.1,5,320,0.01,197,158,83,6
39899,2014-08-05-15,2014-08-05-09,0,75.2,66.1,69.0,74,995.5,77,75.2,78.4,4,360,0.00,330,207,194,5
39899,2014-08-05-16,2014-08-05-10,0,78.8,66.2,69.8,65,995.2,71,78.8,81.5,3,0,0.00,492,188,398,3
39899,2014-08-05-17,2014-08-05-11,0,78.8,66.2,69.8,65,994.9,78,78.8,81.5,2,90,0.00,500,322,207,2
39899,2014-08-05-18,2014-08-05-12,0,78.8,66.2,69.8,65,994.6,58,78.8,81.5,2,30,0.00,818,327,544,2
39899,2014-08-05-19,2014-08-05-13,0,78.8,66.2,69.8,65,994.6,59,78.8,81.5,4,50,0.01,868,272,663,5
39899,2014-08-05-20,2014-08-05-14,0,78.8,66.2,69.8,65,994.2,52,78.8,81.5,7,60,0.00,814,255,659,8
39899,2014-08-05-21,2014-08-05-15,0,80.6,66.2,70.5,62,994.6,80,80.6,83.3,10,30,0.00,694,221,628,12
39899,2014-08-05-22,2014-08-05-16,0,77.0,66.1,69.3,69,994.2,48,77.0,79.8,9,50,0.00,560,161,645,10
39899,2014-08-05-23,2014-08-05-17,0,75.2,64.3,67.7,69,994.6,40,75.2,78.2,9,50,0.00,399,91,673,10
39899,2014-08-06-00,2014-08-05-18,0,73.4,62.5,66.1,69,994.6,38,73.4,77.0,9,20,0.00,211,123,317,10
39899,2014-08-06-01,2014-08-05-19,0,71.6,62.5,65.4,73,994.9,89,71.6,76.2,7,20,0.00,48,42,59,8
39899,2014-08-06-02,2014-08-05-20,0,71.6,62.5,65.4,73,995.5,93,71.6,76.2,7,350,0.00,0,0,0,8
39899,2014-08-06-03,2014-08-05-21,0,69.8,62.5,64.9,78,995.2,44,69.8,69.8,8,20,0.00,0,0,0,9
39899,2014-08-06-04,2014-08-05-22,0,69.8,64.3,66.1,83,995.2,28,69.8,69.8,9,30,0.00,0,0,0,10
39899,2014-08-06-05,2014-08-05-23,0,68.0,62.5,64.4,83,994.9,38,68.0,68.0,10,330,0.00,0,0,0,12
39899,2014-08-06-06,2014-08-06-00,0,68.0,64.3,65.4,88,994.6,47,68.0,68.0,11,350,0.00,0,0,0,13
39899,2014-08-06-07,2014-08-06-01,0,66.2,62.5,63.7,88,994.6,48,66.2,66.2,8,330,0.00,0,0,0,9
39899,2014-08-06-08,2014-08-06-02,0,66.2,62.5,63.7,88,994.6,52,66.2,66.2,9,350,0.00,0,0,0,10
39899,2014-08-06-09,2014-08-06-03,0,66.2,60.7,62.7,83,994.6,82,66.2,66.2,8,350,0.00,0,0,0,9
39899,2014-08-06-10,2014-08-06-04,0,64.4,60.7,62.0,88,994.9,76,63.8,63.8,9,320,0.00,0,0,0,10
39899,2014-08-06-11,2014-08-06-05,0,66.2,60.7,62.7,83,995.5,60,66.1,66.1,9,310,0.00,0,0,0,10
39899,2014-08-06-12,2014-08-06-06,0,66.0,60.6,61.0,83,1017.8,75,66.0,66.0,8,310,0.00,48,37,100,9
